Store,Country,Region,Order_Date,Item,Salesperson,List Price,Actual Price,Discount %
Moscow,Russia,EMEA,04-03-2017,Air conditioner,May Wilmot,700,693,1.00%
New York,USA,NA,10-07-2015,Iron,George Stevenson,30,26,13.33%
Seattle,USA,NA,05-07-2018,Iron,Kate Nash,30,29,3.33%
Kansas City,USA,NA,10-02-2014,Iron,Kirsty Amos,30,30,0.00%
Madria,Spain,EMEA,22-08-2015,Ceiling fan,Roy Nunes,150,143,4.67%
Buenos Aires,Argentina,LATAM,24-07-2015,Vacuum Cleaner,Simon Snape,250,208,16.80%
Amsterdam,Netherlands,EMEA,20-10-2016,Dishwasher,Christopher Hurren,500,455,9.00%
Paris,France,EMEA,22-09-2015,Vacuum Cleaner,Christopher Griffith,250,155,38.00%
Berlin,Germany,EMEA,29-09-2015,Iron,Paul Mannion,30,27,10.00%
Capetown,South Africa,EMEA,09-02-2015,Dishwasher,Lucy Downs,500,485,3.00%
Chicago,USA,NA,16-08-2014,Blender,Richard Hughes,50,49,2.00%
Ho Chi Minh City,Vietnam,APAC,11-03-2017,Dishwasher,Austin Parsons,500,450,10.00%
Ho Chi Minh City,Vietnam,APAC,05-03-2016,Toaster,Ken Rogerson,50,49,2.00%
New York,USA,NA,12-02-2014,Ceiling fan,Stephen Cohen,150,111,26.00%
Vienna,Austria,EMEA,08-05-2017,Iron,Jesus Timmins,30,29,3.33%
Rome,Italy,EMEA,17-02-2015,Toaster,Steven Bell,50,35,30.00%
Warsaw,Poland,EMEA,24-07-2017,Coffee grinder,Gary Mistry,70,69,1.43%
Lima,Peru,LATAM,02-10-2015,Vacuum Cleaner,Michael Wood,250,218,12.80%
Seoul,South Korea,APAC,10-10-2018,Air conditioner,Suzanna Davies,700,672,4.00%
Kuala Lumpur,Malaysia,APAC,16-11-2016,Refrigerator,Harold Lunn,1000,950,5.00%
Bucharest,Romania,EMEA,18-01-2015,Blender,Kevin Ross,50,50,0.00%
Mexico City,Mexico,LATAM,24-10-2015,Air conditioner,James Anthony,700,651,7.00%
Istanbul,Turkey,EMEA,16-12-2014,Dishwasher,Anthony Rothery,500,465,7.00%
Seoul,South Korea,APAC,05-01-2017,Blender,Iftikhar Haywood,50,48,4.00%
Kansas City,USA,NA,14-12-2015,Ceiling fan,Nick Gee,150,144,4.00%
Jerusalem,Israel,EMEA,13-07-2017,Toaster,Harold Charters,50,46,8.00%
Paris,France,EMEA,07-08-2015,Microwave,Caroline Eccles,80,70,12.50%
New York,USA,NA,26-10-2018,Washing Machine,Stephen Cohen,800,776,3.00%
Bogota,Columbia,LATAM,28-08-2016,Blender,Shelley Mannix,50,47,6.00%
Delhi,India,APAC,06-10-2014,Blender,Francis Hughes,50,50,0.00%
Riyadh,Saudi Arabia,EMEA,20-11-2014,Blender,Kelly Owen,50,48,4.00%
Sydney,Australia,APAC,05-04-2014,Toaster,James White,50,39,22.00%
Ho Chi Minh City,Vietnam,APAC,04-02-2018,Oven,Michael Bell,500,500,0.00%
Kansas City,USA,NA,06-04-2017,Coffee grinder,David Rodrigues,70,64,8.57%
Berlin,Germany,EMEA,31-08-2018,Oven,Paul Sherwin,500,495,1.00%
Tijuana,Mexico,LATAM,04-09-2016,Microwave,Richard Foy,80,70,12.50%
Istanbul,Turkey,EMEA,12-02-2014,Iron,George Sherwin,30,29,3.33%
Santiago,Chile,LATAM,07-09-2017,Washing Machine,Julia Hammond,800,680,15.00%
Tokyo,Japan,APAC,04-08-2016,Toaster,Ken Mishra,50,49,2.00%
Chicago,USA,NA,11-01-2018,Oven,Amelia Scott,500,495,1.00%
Sydney,Australia,APAC,13-10-2016,Refrigerator,Stephen Neville,1000,510,49.00%
Tijuana,Mexico,LATAM,20-09-2014,Oven,Kevin McLauchlin,500,495,1.00%
Buenos Aires,Argentina,LATAM,22-10-2014,Iron,Simon Snape,30,26,13.33%
Tokyo,Japan,APAC,05-11-2015,Washing Machine,Alexander Uddin,800,656,18.00%
Birmingham,UK,EMEA,09-01-2014,Ceiling fan,Stephen Muhammad,150,141,6.00%
Toronto,Canada,NA,22-02-2018,Microwave,Michael Patel,80,80,0.00%
Dubai,UAE,EMEA,14-10-2017,Washing Machine,Nicholas Timbrell,800,784,2.00%
Bangkok,Thailand,APAC,16-11-2018,Washing Machine,Olive Foster,800,776,3.00%
Berlin,Germany,EMEA,22-04-2016,Coffee grinder,John Gunter,70,69,1.43%
Santiago,Chile,LATAM,18-02-2015,Washing Machine,Bruce McPhee,800,632,21.00%
Sydney,Australia,APAC,10-11-2015,Oven,Robert Faulkner,500,500,0.00%
Toronto,Canada,NA,11-08-2015,Oven,Nick Blacklock,500,490,2.00%
Lima,Peru,LATAM,18-08-2017,Coffee grinder,Rachel Howard,70,64,8.57%
Bucharest,Romania,EMEA,23-03-2014,Blender,Kevin Ross,50,50,0.00%
Bucharest,Romania,EMEA,29-11-2016,Toaster,Constance Tidey,50,48,4.00%
Dublin,Ireland,EMEA,17-08-2018,Dishwasher,John Curtis,500,495,1.00%
Madria,Spain,EMEA,06-03-2016,Washing Machine,Catherine Gagg,800,760,5.00%
Los Angeles,USA,NA,04-02-2017,Coffee grinder,Anthony Procter,70,65,7.14%
Osaka,Japan,APAC,27-11-2014,Coffee grinder,Colin Patel,70,67,4.29%
San Fransisco,USA,NA,29-04-2016,Oven,Robert Tattersall,500,490,2.00%
Moscow,Russia,EMEA,08-05-2017,Ceiling fan,Diane Batty,150,147,2.00%
Dubai,UAE,EMEA,17-12-2017,Oven,Brenda Lightfoot,500,500,0.00%
New York,USA,NA,10-11-2018,Iron,Stephen Cohen,30,28,6.67%
Tokyo,Japan,APAC,23-07-2015,Washing Machine,Ken Mishra,800,600,25.00%
Seoul,South Korea,APAC,06-09-2018,Washing Machine,James Gahagan,800,552,31.00%
Jerusalem,Israel,EMEA,03-02-2017,Blender,Abu Moore,50,46,8.00%
Bucharest,Romania,EMEA,29-11-2015,Iron,Geoffrey Shiner,30,29,3.33%
Dubai,UAE,EMEA,12-02-2015,Washing Machine,Frank Murray,800,680,15.00%
Shenzhen,China,APAC,25-08-2014,Oven,Joanne Ripley,500,495,1.00%
Guangzhou,China,APAC,07-07-2015,Vacuum Cleaner,Wolfgang Carvalho,250,205,18.00%
Capetown,South Africa,EMEA,29-08-2016,Toaster,Noel Bull,50,48,4.00%
Dublin,Ireland,EMEA,02-09-2016,Microwave,Robert Harris,80,78,2.50%
Riyadh,Saudi Arabia,EMEA,29-05-2017,Washing Machine,Daniel Battersby,800,552,31.00%
Vienna,Austria,EMEA,12-07-2014,Oven,Peter Thompson,500,495,1.00%
Kansas City,USA,NA,06-03-2016,Refrigerator,Robert Arnold,1000,1000,0.00%
Lima,Peru,LATAM,28-01-2016,Toaster,Lloyd Norton,50,43,14.00%
Shanghai,China,APAC,03-02-2018,Vacuum Cleaner,Glenys Raymond,250,250,0.00%
Cairo,Egypt,EMEA,26-08-2015,Iron,Marek Kwiatkowski,30,23,23.33%
Bangkok,Thailand,APAC,05-01-2015,Oven,John Jenkins,500,490,2.00%
Sao Paolo,Brazil,LATAM,11-06-2014,Dishwasher,Cheryl Tubbs,500,425,15.00%
Dubai,UAE,EMEA,06-05-2018,Vacuum Cleaner,Rachel Clayton,250,223,10.80%
Los Angeles,USA,NA,27-10-2017,Air conditioner,Heather Beck,700,693,1.00%
Seattle,USA,NA,13-07-2017,Ceiling fan,Lesleyann Pope,150,147,2.00%
Shanghai,China,APAC,03-10-2018,Iron,Glenys Raymond,30,26,13.33%
Vienna,Austria,EMEA,20-08-2016,Iron,Raymond Denning,30,29,3.33%
Guangzhou,China,APAC,05-10-2014,Ceiling fan,Mark Searle,150,105,30.00%
Toronto,Canada,NA,19-02-2018,Blender,Michael Patel,50,50,0.00%
Bucharest,Romania,EMEA,21-10-2014,Washing Machine,Nicola Hewitt,800,480,40.00%
Buenos Aires,Argentina,LATAM,07-04-2016,Oven,Simon Snape,500,500,0.00%
Toronto,Canada,NA,21-04-2014,Toaster,Nick Blacklock,50,40,20.00%
Seattle,USA,NA,23-07-2017,Refrigerator,Susan Toye,1000,620,38.00%
Moscow,Russia,EMEA,04-04-2014,Toaster,Rita Hill,50,50,0.00%
Delhi,India,APAC,29-08-2015,Ceiling fan,Roy Johnson,150,98,34.67%
Madria,Spain,EMEA,26-07-2017,Air conditioner,Paul Long,700,700,0.00%
Ho Chi Minh City,Vietnam,APAC,29-04-2014,Toaster,Irene Skiba,50,37,26.00%
Bangkok,Thailand,APAC,10-07-2017,Iron,John Jenkins,30,29,3.33%
Moscow,Russia,EMEA,20-10-2015,Air conditioner,Zulfiqar Mirza,700,679,3.00%
Tijuana,Mexico,LATAM,06-09-2015,Oven,Kevin McLauchlin,500,495,1.00%
Toronto,Canada,NA,23-07-2014,Blender,David Shiner,50,36,28.00%
Dubai,UAE,EMEA,08-01-2015,Toaster,Frank Murray,50,48,4.00%
London,UK,EMEA,30-12-2017,Dishwasher,Nicola Williams,500,475,5.00%
Vienna,Austria,EMEA,27-03-2016,Toaster,Marie Hewitt,50,43,14.00%
Buenos Aires,Argentina,LATAM,26-02-2018,Vacuum Cleaner,Ronald Rowlands,250,235,6.00%
Paris,France,EMEA,08-04-2018,Blender,Melanie Fletcher,50,43,14.00%
Mexico City,Mexico,LATAM,26-10-2015,Iron,Denise Rodgers,30,26,13.33%
Tijuana,Mexico,LATAM,24-09-2015,Coffee grinder,Stephen Carlin,70,53,24.29%
Osaka,Japan,APAC,17-07-2017,Ceiling fan,Peter Walker,150,149,0.67%
Rome,Italy,EMEA,18-05-2018,Vacuum Cleaner,Michael Toy,250,228,8.80%
Paris,France,EMEA,16-05-2016,Coffee grinder,Philip Tubbs,70,64,8.57%
Istanbul,Turkey,EMEA,06-07-2016,Iron,Ian McCartan,30,27,10.00%
Jerusalem,Israel,EMEA,28-11-2016,Washing Machine,Emma Westbrook,800,648,19.00%
Los Angeles,USA,NA,10-05-2015,Iron,Paul Hirst,30,30,0.00%
Birmingham,UK,EMEA,16-04-2014,Washing Machine,Susan Goude,800,488,39.00%
Tel Aviv,Israel,EMEA,07-05-2014,Air conditioner,Steven Green,700,546,22.00%
Chicago,USA,NA,09-09-2016,Vacuum Cleaner,Marie Foster,250,248,0.80%
Prague,Czech Republic,EMEA,10-08-2016,Vacuum Cleaner,Rachel Blane,250,243,2.80%
Bangkok,Thailand,APAC,28-12-2018,Toaster,Olive Foster,50,49,2.00%
Chicago,USA,NA,26-08-2016,Vacuum Cleaner,Barry Baldwin,250,250,0.00%
Istanbul,Turkey,EMEA,21-01-2018,Toaster,Mark Buntain,50,47,6.00%
Kansas City,USA,NA,25-06-2016,Air conditioner,Nick Gee,700,644,8.00%
Ho Chi Minh City,Vietnam,APAC,22-11-2017,Oven,Susan Passey,500,495,1.00%
Bangalore,India,APAC,18-05-2018,Air conditioner,Francis Walsh,700,644,8.00%
Tel Aviv,Israel,EMEA,10-05-2018,Air conditioner,Frances Weller,700,651,7.00%
Ho Chi Minh City,Vietnam,APAC,27-09-2015,Washing Machine,Susan Dixon,800,752,6.00%
Paris,France,EMEA,16-04-2018,Vacuum Cleaner,Barry Smith,250,233,6.80%
Riyadh,Saudi Arabia,EMEA,20-11-2014,Washing Machine,Victoria Sherwin,800,480,40.00%
Riyadh,Saudi Arabia,EMEA,11-10-2017,Refrigerator,Daniel Battersby,1000,810,19.00%
Mexico City,Mexico,LATAM,17-06-2017,Washing Machine,Phillip Clarke,800,552,31.00%
Mexico City,Mexico,LATAM,30-12-2018,Blender,James Anthony,50,48,4.00%
Shanghai,China,APAC,28-03-2017,Coffee grinder,Glenys Raymond,70,70,0.00%
Sydney,Australia,APAC,16-03-2018,Refrigerator,Susan Luker,1000,930,7.00%
Berlin,Germany,EMEA,27-11-2018,Vacuum Cleaner,John Gunter,250,250,0.00%
Shenzhen,China,APAC,25-12-2015,Air conditioner,Ronald Butler,700,469,33.00%
Bucharest,Romania,EMEA,10-11-2016,Coffee grinder,Bruce Neville,70,69,1.43%
Athens,Greece,EMEA,14-06-2014,Air conditioner,Martin Timmins,700,630,10.00%
Delhi,India,APAC,13-11-2017,Microwave,Tessa Morrow,80,78,2.50%
Mexico City,Mexico,LATAM,05-07-2017,Toaster,Phillip Clarke,50,49,2.00%
Bogota,Columbia,LATAM,30-08-2014,Refrigerator,Antony Westlake,1000,750,25.00%
Jerusalem,Israel,EMEA,01-08-2014,Toaster,Susan Carley,50,37,26.00%
Warsaw,Poland,EMEA,11-08-2018,Iron,Anthony Connolly,30,28,6.67%
Shanghai,China,APAC,21-02-2018,Oven,Michelle Murray,500,500,0.00%
Bangkok,Thailand,APAC,31-12-2018,Iron,Martin Gee,30,29,3.33%
San Fransisco,USA,NA,23-09-2014,Ceiling fan,James Stephen,150,110,26.67%
Riyadh,Saudi Arabia,EMEA,17-06-2015,Coffee grinder,John Craig,70,50,28.57%
Berlin,Germany,EMEA,06-02-2018,Washing Machine,David Townsend,800,760,5.00%
Amsterdam,Netherlands,EMEA,05-10-2018,Coffee grinder,Danny Grant,70,68,2.86%
Tijuana,Mexico,LATAM,24-02-2016,Refrigerator,Paul Skiba,1000,960,4.00%
Birmingham,UK,EMEA,19-12-2017,Microwave,Susan Goude,80,80,0.00%
Vienna,Austria,EMEA,01-09-2018,Washing Machine,Paul Munday,800,776,3.00%
Tokyo,Japan,APAC,27-08-2017,Washing Machine,Basil Bell,800,560,30.00%
Birmingham,UK,EMEA,17-10-2017,Blender,Robert Reed,50,46,8.00%
Los Angeles,USA,NA,26-04-2014,Coffee grinder,Ellen Lillie,70,57,18.57%
Jerusalem,Israel,EMEA,12-05-2016,Microwave,Isla Parsons,80,78,2.50%
Prague,Czech Republic,EMEA,24-09-2017,Microwave,Christopher Martin,80,78,2.50%
Dublin,Ireland,EMEA,29-07-2018,Vacuum Cleaner,Alison Younger,250,250,0.00%
Kansas City,USA,NA,30-07-2014,Iron,Xun Simms,30,29,3.33%
Prague,Czech Republic,EMEA,11-08-2015,Blender,Nick Denny,50,33,34.00%
Amsterdam,Netherlands,EMEA,01-02-2017,Refrigerator,David Dorey,1000,880,12.00%
Osaka,Japan,APAC,13-10-2015,Dishwasher,Peter Walker,500,305,39.00%
Dublin,Ireland,EMEA,27-06-2014,Air conditioner,Robert Harris,700,665,5.00%
Dubai,UAE,EMEA,09-02-2018,Dishwasher,David Romero,500,100,80.00%
Capetown,South Africa,EMEA,19-03-2017,Oven,Marcus Jacob,500,500,0.00%
Shenzhen,China,APAC,25-10-2015,Microwave,Phillip Humphreys,80,65,18.75%
New York,USA,NA,27-04-2017,Air conditioner,Robert Salisbury,700,651,7.00%
Guangzhou,China,APAC,08-05-2017,Ceiling fan,Mark Searle,150,141,6.00%
Guangzhou,China,APAC,15-08-2018,Vacuum Cleaner,Donald Higgs,250,240,4.00%
Shenzhen,China,APAC,02-12-2015,Coffee grinder,Edward Jenkins,70,57,18.57%
Los Angeles,USA,NA,21-09-2014,Oven,Ron Goodman,500,495,1.00%
Seoul,South Korea,APAC,16-03-2017,Iron,Martin Birch,30,29,3.33%
San Fransisco,USA,NA,08-10-2016,Air conditioner,Saffron Cruse,700,595,15.00%
Rome,Italy,EMEA,23-11-2016,Vacuum Cleaner,Andrew Hirst,250,213,14.80%
Delhi,India,APAC,16-10-2018,Ceiling fan,David Johnson,150,129,14.00%
Seoul,South Korea,APAC,15-01-2015,Iron,Mark Brook,30,29,3.33%
Moscow,Russia,EMEA,11-09-2018,Blender,Zulfiqar Mirza,50,49,2.00%
Paris,France,EMEA,11-06-2014,Dishwasher,Joanne Sayer,500,370,26.00%
Toronto,Canada,NA,30-01-2016,Iron,Michael Patel,30,26,13.33%
Berlin,Germany,EMEA,06-09-2017,Vacuum Cleaner,Paul Mannion,250,243,2.80%
Shenzhen,China,APAC,24-02-2015,Refrigerator,Fatima James,1000,700,30.00%
San Fransisco,USA,NA,18-11-2018,Blender,Patricia Sewell,50,43,14.00%
Buenos Aires,Argentina,LATAM,14-07-2017,Washing Machine,Lisa Wood,800,440,45.00%
London,UK,EMEA,15-03-2017,Microwave,Claire Brooks,80,80,0.00%
Kansas City,USA,NA,03-09-2015,Coffee grinder,David Rodrigues,70,63,10.00%
Tel Aviv,Israel,EMEA,09-01-2014,Air conditioner,John Verma,700,672,4.00%
Sao Paolo,Brazil,LATAM,08-03-2018,Oven,Stephen Smith,500,490,2.00%
Berlin,Germany,EMEA,23-11-2015,Washing Machine,David Townsend,800,592,26.00%
Berlin,Germany,EMEA,17-02-2017,Toaster,John Gunter,50,46,8.00%
Lima,Peru,LATAM,23-02-2017,Blender,Claire Storey,50,50,0.00%
New York,USA,NA,01-04-2018,Blender,Robert Salisbury,50,48,4.00%
Sydney,Australia,APAC,06-09-2017,Blender,Susan Luker,50,47,6.00%
Lima,Peru,LATAM,01-07-2014,Coffee grinder,Peter Jago,70,63,10.00%
Paris,France,EMEA,22-12-2018,Vacuum Cleaner,Rory Bullion,250,243,2.80%
San Fransisco,USA,NA,14-05-2016,Oven,John Osborne,500,500,0.00%
Prague,Czech Republic,EMEA,26-11-2016,Oven,Rachel Blane,500,495,1.00%
Shanghai,China,APAC,10-07-2014,Washing Machine,Paul Power,800,648,19.00%
Buenos Aires,Argentina,LATAM,21-03-2015,Iron,Naeem Perry,30,20,33.33%
Guangzhou,China,APAC,10-03-2015,Air conditioner,Abdul Amos,700,462,34.00%
Dubai,UAE,EMEA,17-07-2016,Iron,Roy Connelly,30,29,3.33%
Berlin,Germany,EMEA,16-01-2017,Coffee grinder,John Gunter,70,66,5.71%
Dubai,UAE,EMEA,13-08-2017,Refrigerator,Rachel Clayton,1000,690,31.00%
Mexico City,Mexico,LATAM,02-10-2016,Coffee grinder,Brendon Dyer,70,69,1.43%
Warsaw,Poland,EMEA,25-11-2017,Iron,Hin Bragg,30,27,10.00%
Shanghai,China,APAC,16-09-2017,Vacuum Cleaner,Craig Johnson,250,225,10.00%
Buenos Aires,Argentina,LATAM,14-01-2017,Oven,Simon Snape,500,500,0.00%
Jerusalem,Israel,EMEA,06-10-2016,Blender,Isla Parsons,50,45,10.00%
Paris,France,EMEA,06-04-2014,Ceiling fan,Ketan Bryan,150,137,8.67%
Istanbul,Turkey,EMEA,05-03-2017,Dishwasher,Ian McCartan,500,455,9.00%
Birmingham,UK,EMEA,17-12-2018,Oven,Robert Reed,500,500,0.00%
Tokyo,Japan,APAC,27-12-2016,Air conditioner,Kenneth Bullion,700,644,8.00%
Guangzhou,China,APAC,06-01-2014,Ceiling fan,Donald Higgs,150,123,18.00%
Moscow,Russia,EMEA,20-11-2016,Dishwasher,Rita Hill,500,475,5.00%
Vienna,Austria,EMEA,28-01-2018,Refrigerator,Noel Hardy,1000,750,25.00%
Osaka,Japan,APAC,17-04-2018,Ceiling fan,Kyle Walter,150,150,0.00%
Vienna,Austria,EMEA,15-12-2018,Coffee grinder,Gillian Rodrigues,70,63,10.00%
Prague,Czech Republic,EMEA,11-12-2015,Coffee grinder,Stephen Nolan,70,57,18.57%
Paris,France,EMEA,01-02-2018,Ceiling fan,Nicola Rea,150,143,4.67%
Toronto,Canada,NA,19-07-2018,Iron,Robin Hall,30,27,10.00%
Rome,Italy,EMEA,04-04-2017,Washing Machine,Peter Allan,800,648,19.00%
Dublin,Ireland,EMEA,31-01-2015,Refrigerator,Penelope Norton,1000,970,3.00%
Bogota,Columbia,LATAM,19-06-2016,Coffee grinder,David Finnie,70,67,4.29%
Tokyo,Japan,APAC,18-08-2017,Refrigerator,Pauline Pope,1000,890,11.00%
New York,USA,NA,03-08-2015,Air conditioner,Barbara Turner,700,476,32.00%
Capetown,South Africa,EMEA,01-07-2015,Coffee grinder,Lucy Downs,70,52,25.71%
Tokyo,Japan,APAC,09-10-2018,Air conditioner,Alexander Uddin,700,686,2.00%
New York,USA,NA,08-05-2018,Refrigerator,Simon Hirst,1000,640,36.00%
Tokyo,Japan,APAC,13-02-2016,Dishwasher,Rose Rowntree,500,440,12.00%
Ho Chi Minh City,Vietnam,APAC,15-12-2016,Microwave,Ken Rogerson,80,75,6.25%
Istanbul,Turkey,EMEA,25-11-2017,Ceiling fan,Chloe Lyons,150,144,4.00%
Santiago,Chile,LATAM,10-12-2016,Iron,Ram Mathews,30,26,13.33%
Tokyo,Japan,APAC,15-01-2018,Microwave,Nicholas Goude,80,74,7.50%
Guangzhou,China,APAC,16-07-2018,Vacuum Cleaner,Glenys Wright,250,245,2.00%
Berlin,Germany,EMEA,29-06-2016,Refrigerator,Paul Sherwin,1000,940,6.00%
Vienna,Austria,EMEA,11-06-2017,Toaster,Paul Drage,50,50,0.00%
Ho Chi Minh City,Vietnam,APAC,29-06-2016,Toaster,Terence Jones,50,46,8.00%
Dubai,UAE,EMEA,12-08-2017,Air conditioner,Peter Kelly,700,665,5.00%
Birmingham,UK,EMEA,04-03-2014,Refrigerator,Robert Stocks,1000,950,5.00%
Warsaw,Poland,EMEA,10-03-2014,Ceiling fan,Barbara McDevitt,150,135,10.00%
Kansas City,USA,NA,31-03-2017,Iron,Robert Arnold,30,29,3.33%
Vienna,Austria,EMEA,28-07-2017,Vacuum Cleaner,Baljinder Anderson,250,243,2.80%
Tokyo,Japan,APAC,13-04-2018,Iron,David Gow,30,29,3.33%
Guangzhou,China,APAC,15-12-2015,Dishwasher,Mark Searle,500,490,2.00%
Toronto,Canada,NA,30-11-2017,Air conditioner,Robin Hall,700,686,2.00%
Bangalore,India,APAC,18-05-2017,Microwave,Colin Lima,80,75,6.25%
Delhi,India,APAC,10-05-2018,Vacuum Cleaner,Francis Hughes,250,223,10.80%
Birmingham,UK,EMEA,06-04-2016,Dishwasher,Robert Stocks,500,480,4.00%
Osaka,Japan,APAC,11-04-2017,Blender,Kenneth Walter,50,50,0.00%
Guangzhou,China,APAC,17-09-2014,Toaster,Donald Higgs,50,42,16.00%
Toronto,Canada,NA,19-01-2014,Iron,Michael Patel,30,21,30.00%
San Fransisco,USA,NA,29-07-2017,Oven,Gillan Clark,500,500,0.00%
San Fransisco,USA,NA,18-12-2017,Washing Machine,John Osborne,800,632,21.00%
Tokyo,Japan,APAC,26-02-2017,Blender,Michelle Hunter,50,46,8.00%
Guangzhou,China,APAC,16-10-2017,Toaster,Glenys Wright,50,48,4.00%
Los Angeles,USA,NA,24-08-2015,Washing Machine,Colin Matthews,800,528,34.00%
Dublin,Ireland,EMEA,09-01-2016,Blender,John Curtis,50,47,6.00%
Shanghai,China,APAC,24-01-2016,Ceiling fan,Glenys Raymond,150,129,14.00%
Buenos Aires,Argentina,LATAM,24-11-2014,Air conditioner,Stuart Brown,700,581,17.00%
Shanghai,China,APAC,13-01-2014,Iron,Craig Johnson,30,27,10.00%
Tokyo,Japan,APAC,14-11-2016,Microwave,Nicholas Goude,80,75,6.25%
Tokyo,Japan,APAC,15-10-2017,Washing Machine,Basil Bell,800,736,8.00%
Seoul,South Korea,APAC,31-03-2017,Refrigerator,Mark Brook,1000,880,12.00%
Athens,Greece,EMEA,22-08-2014,Toaster,Aidan Perrott,50,48,4.00%
Mexico City,Mexico,LATAM,15-09-2016,Blender,Brendon Dyer,50,49,2.00%
Lima,Peru,LATAM,08-04-2014,Iron,Jacqueline Swaine,30,27,10.00%
Tel Aviv,Israel,EMEA,19-11-2018,Refrigerator,Deanna Wang,1000,850,15.00%
Buenos Aires,Argentina,LATAM,30-04-2017,Refrigerator,Brendon Sykes,1000,560,44.00%
Bangalore,India,APAC,21-05-2014,Iron,Colin Lima,30,25,16.67%
Osaka,Japan,APAC,16-03-2016,Toaster,April Childs,50,46,8.00%
Mexico City,Mexico,LATAM,02-01-2015,Dishwasher,Andrew Harris,500,305,39.00%
Kuala Lumpur,Malaysia,APAC,10-03-2018,Blender,Trudi Griffin,50,48,4.00%
Prague,Czech Republic,EMEA,19-02-2018,Dishwasher,Maureen Haymes,500,435,13.00%
Istanbul,Turkey,EMEA,14-01-2018,Oven,Ian McCartan,500,500,0.00%
Los Angeles,USA,NA,23-09-2016,Coffee grinder,Rita Jenkins,70,66,5.71%
Sydney,Australia,APAC,09-04-2017,Coffee grinder,William Martin,70,70,0.00%
Delhi,India,APAC,17-12-2016,Microwave,Gillian Harris,80,79,1.25%
Paris,France,EMEA,03-02-2017,Iron,Caroline Eccles,30,28,6.67%
Paris,France,EMEA,23-09-2014,Dishwasher,Christopher Griffith,500,485,3.00%
Madria,Spain,EMEA,13-02-2016,Coffee grinder,Martin Mishra,70,67,4.29%
Dublin,Ireland,EMEA,09-05-2017,Ceiling fan,James Carley,150,143,4.67%
Sydney,Australia,APAC,09-02-2017,Refrigerator,William Martin,1000,570,43.00%
Warsaw,Poland,EMEA,22-07-2018,Vacuum Cleaner,David Grey,250,235,6.00%
Cairo,Egypt,EMEA,16-11-2014,Washing Machine,Valerie Pereira,800,760,5.00%
Jerusalem,Israel,EMEA,11-03-2015,Iron,William Collins,30,23,23.33%
New York,USA,NA,03-11-2018,Iron,Ian Coates,30,26,13.33%
Shenzhen,China,APAC,10-04-2014,Coffee grinder,Phillip Humphreys,70,57,18.57%
Istanbul,Turkey,EMEA,22-05-2017,Washing Machine,Francis Hall,800,512,36.00%
Sydney,Australia,APAC,20-02-2017,Oven,Stephen Neville,500,500,0.00%
San Fransisco,USA,NA,23-01-2018,Air conditioner,Robert Tattersall,700,609,13.00%
Vienna,Austria,EMEA,04-12-2018,Toaster,Paul Munday,50,48,4.00%
San Fransisco,USA,NA,05-01-2018,Iron,Arthur Carley,30,26,13.33%
Mexico City,Mexico,LATAM,25-04-2014,Oven,Jacqueline Green,500,500,0.00%
Bangkok,Thailand,APAC,27-09-2016,Washing Machine,John Jenkins,800,664,17.00%
Bucharest,Romania,EMEA,11-02-2018,Air conditioner,Geoffrey Shiner,700,679,3.00%
Seattle,USA,NA,29-04-2014,Vacuum Cleaner,Heather Donald,250,198,20.80%
Buenos Aires,Argentina,LATAM,30-04-2015,Oven,Naeem Perry,500,500,0.00%
London,UK,EMEA,06-12-2014,Oven,Ian Borowski,500,500,0.00%
Mexico City,Mexico,LATAM,29-01-2015,Dishwasher,James Anthony,500,450,10.00%
Paris,France,EMEA,03-04-2017,Iron,Caroline Eccles,30,29,3.33%
Los Angeles,USA,NA,30-12-2015,Oven,Colin Matthews,500,500,0.00%
Riyadh,Saudi Arabia,EMEA,20-08-2017,Vacuum Cleaner,John Craig,250,225,10.00%
Moscow,Russia,EMEA,17-09-2015,Microwave,Darren Brooks,80,78,2.50%
Istanbul,Turkey,EMEA,16-11-2015,Blender,Mark Buntain,50,32,36.00%
Dubai,UAE,EMEA,02-12-2014,Blender,Peter Kelly,50,41,18.00%
Sao Paolo,Brazil,LATAM,14-06-2018,Coffee grinder,Elizabeth Holloway,70,60,14.29%
Osaka,Japan,APAC,12-04-2014,Coffee grinder,Peter Walker,70,69,1.43%
London,UK,EMEA,08-07-2018,Dishwasher,Ian Borowski,500,490,2.00%
Osaka,Japan,APAC,02-02-2018,Coffee grinder,Kenneth Walter,70,69,1.43%
Capetown,South Africa,EMEA,09-07-2018,Refrigerator,Nicholas Holloway,1000,640,36.00%
Bangkok,Thailand,APAC,29-10-2014,Refrigerator,Mary Mitchell,1000,1000,0.00%
Madria,Spain,EMEA,02-08-2018,Microwave,Catherine Gagg,80,70,12.50%
Lima,Peru,LATAM,24-12-2017,Ceiling fan,Rachel Howard,150,135,10.00%
Amsterdam,Netherlands,EMEA,01-08-2018,Air conditioner,Allyson Parker,700,623,11.00%
Athens,Greece,EMEA,28-06-2016,Vacuum Cleaner,Alexander Rowntree,250,245,2.00%
Cairo,Egypt,EMEA,13-01-2017,Dishwasher,Marek Kwiatkowski,500,500,0.00%
Paris,France,EMEA,18-05-2017,Air conditioner,Melanie Fletcher,700,700,0.00%
